compound	pvalue	fc
CPD_35255	2.1097189025447e-08	0.281717458239387
CPD_33960	1.66502741392878e-17	0.28522654527349
CPD_35254	0.0140400686139096	0.790664397865264
CPD_34419	0.00226737486987155	0.618716136208691
CPD_35257	0.768670351856917	1.0862934807648
CPD_35884	0.569117533819823	1.19075049374589
CPD_33228	0.0100773966022569	0.763601425197166
CPD_35256	0.377180057212125	1.25938420348059
CPD_37366	0.560084443438512	1.09030982201714
CPD_33822	1.61342207384857e-09	0.52300929274943
CPD_35883	0.0381736108260748	0.842972833266326
CPD_35305	3.16353345170237e-41	0.216127278450225
CPD_19324	5.03451890583396e-37	0.296407185628743
CPD_36602	4.29968516757816e-35	0.344827586206897
CPD_34214	1.66788729536498e-22	0.546974939708504
CPD_19260	1.66170569626996e-24	0.457790598097985
CPD_37948	0.000182344211402771	0.97198419933151
CPD_39270	8.6694523754052e-39	0.118675313559601
CPD_21127	0.00469315491579215	0.791640919049492
CPD_33419	0.950559548206327	1.02397862316293
CPD_21188	2.28892303913549e-11	0.619802170363968
CPD_21184	7.68402637924306e-05	1.68747284576394
CPD_35848	1.65699390749741e-05	2.60270635994587
CPD_27447	0.000526180834682144	1.70690914995535
CPD_32536	0.000159045344753046	2.31856100104275
CPD_34397	0.0471939019278219	0.740745149386978
CPD_17769	1.19018770197677e-07	2.21838858905166
CPD_17747	1.45364168291744e-10	2.5516110036174
CPD_1510	0.237708628981973	0.800317838696861
CPD_37506	0.256057888282654	0.927782713542328
CPD_1518	4.99156309608523e-10	0.601108033240997
CPD_63	0.00103229834191144	1.1700347916204
CPD_21131	0.0617896489444383	1.49173955296404
CPD_35692	0.161744646208563	2.52323651452282
CPD_35092	0.00356523729107043	1.72641728624535
CPD_31591	1.11222420888819e-06	0.60113019638561
CPD_19464	0.445249570543196	1.00096417711192
CPD_1712	0.128157305890017	0.73870598532283
CPD_1769	1.24554623982302e-12	0.276371888323477
CPD_36776	9.94582372068754e-24	4.11492122335496
CPD_37202	0.236306344362533	0.818315533670141
CPD_32562	0.0159449579144413	0.65266308835673
CPD_40708	2.25496685803708e-08	0.71176212420452
CPD_3147	1.92846163563206e-22	0.661533816425121
CPD_15136	4.25670873357092e-19	0.536885477225264
CPD_3127	1.69552364168619e-26	0.590704397620504
CPD_1123	1.5449241482608e-10	1.2694942903752
CPD_15076	0.05692681905882	1.31355280631859
CPD_554	0.95789934375669	1.56148418798034
CPD_555	5.75935791594265e-08	0.646746609003342
CPD_15650	2.89478525634583e-37	0.281522757532423
CPD_40663	0.066924139480068	1.21073753678766
CPD_36815	9.23849231746743e-18	0.540877016129032
CPD_35142	2.03567587166343e-19	0.484384843848438
CPD_32342	7.97813393066917e-07	1.88990213523132
CPD_18360	0.03144935290498	0.821665815022994
CPD_418	0.00588104551479434	0.881742480735769
CPD_1573	8.48972176267999e-16	1.84717426858077
CPD_1411	0.36032093113936	1.19060541448601
CPD_2849	2.2547551431791e-10	2.91742172267462
CPD_31609	1.93993960021185e-39	0.187664355725556
CPD_35133	7.87103563112234e-36	0.252221955320682
CPD_35137	4.30330317329422e-42	0.198060941828255
CPD_35157	6.00002666189327e-32	0.373508866200967
CPD_1604	3.82581980036748e-08	0.740153301886792
CPD_514	6.03445916773072e-14	0.491818492648855
CPD_2372	1.80891329567061e-21	2.23246685275645
CPD_2959	5.12877831010586e-11	0.595734686208192
CPD_37465	7.28739337049713e-08	0.839514636320011
CPD_40453	0.324664647146405	1.21076923076923
CPD_604	0.101869959804811	0.793408073525334
CPD_39539	0.000209630386547137	0.745958751393534
CPD_1566	2.41628866574343e-13	3.92735419421184
CPD_605	7.54612895826862e-09	0.667689053410894
CPD_1559	1.44460088503702e-14	2.49316207725005
CPD_606	0.00462720030782692	0.899551142546246
CPD_33442	1.0400123311565e-40	0.284697508896797
CPD_35136	2.60454397702243e-07	0.811519934406067
CPD_39879	5.91754723497505e-11	2.77586947187634
CPD_37070	2.43599950186318e-08	0.648760544428919
CPD_33454	7.66956759101809e-19	0.483892983892984
CPD_1640	0.567565701395858	1.11442814909281
CPD_27738	0.0742510572952531	1.77685654637638
CPD_1476	0.0480143022597897	1.3413822459562
CPD_37516	0.0727892095778917	1.07124128669182
CPD_18330	6.3332349090096e-32	0.22425697988592
CPD_41754	5.23961727582646e-05	2.594492847155
CPD_40173	1.06174172204488e-06	0.290274381961424
CPD_27716	0.000299381699013361	1.48160223567769
CPD_32586	0.0743795656355887	1.22064860426929
CPD_594	0.00537512492471853	0.869028662420382
CPD_22152	1.42849106489357e-06	0.532865400495458
CPD_5278	2.4946364736821e-13	0.515604259916654
CPD_31475	0.640842815685682	1.35093214019389
CPD_15725	NA	1
CPD_33013	0.826839124675204	1.22422525538673
CPD_1899	0.021742977735987	2.03015578104902
CPD_1504	0.165053017800426	1.09509517415686
CPD_32401	5.66727235050018e-13	0.395454246863299
CPD_40469	3.90404917453595e-13	0.653406663818881
CPD_1508	2.76916100039497e-40	0.21540517873991
CPD_18289	1.42811901559886e-08	0.524668859454174
CPD_1651	1.33667183471326e-31	0.357579462102689
CPD_2134	5.04101092802517e-36	0.237738004569688
CPD_1827	1.78312806090847e-25	0.429160993873383
CPD_1561	1.42032496349473e-31	8.93616348888655
CPD_35702	3.69202800233387e-14	4.34250079948833
CPD_33420	1.33824611368941e-24	5.08538732394366
CPD_31555	1.3299225349207e-33	0.3001998001998
CPD_15753	1.47441587573336e-35	0.0993438457862779
CPD_18281	0.00147524855909989	0.585295989815404
CPD_39600	2.30078952158837e-25	0.11261580220688
CPD_35527	1.76247952260853e-36	0.0942454000067031
CPD_35320	1.6205063323547e-07	0.571729837560559
CPD_15778	0.000137272514557012	0.864664771381189
CPD_15737	9.05234468152586e-14	0.709693819907355
CPD_22030	2.42724935844751e-27	0.407805148076391
CPD_27728	0.000291298466117044	1.5834350980533
CPD_27743	0.299404243228271	0.884120791793093
CPD_20714	3.0955994542431e-31	4.6422701873562
CPD_1554	3.60580166584987e-06	0.939825581395349
CPD_36817	0.743478268155022	0.661237785016287
CPD_39610	0.32083003572319	1.00591957542356
CPD_1515	NA	1
CPD_37475	0.0589871193045861	0.594425863991081
CPD_12032	0.123125247758069	0.748051948051948
CPD_33423	0.0420136672362108	0.548025239541949
CPD_33173	0.024500713957748	0.999113475177305
CPD_33178	NA	1
CPD_34365	0.000736840170223605	0.815403422982885
CPD_12122	NA	1
CPD_35661	0.695486381154723	1.36458993717941
CPD_39972	0.0325024913171445	0.953751571887662
CPD_18037	0.614108083764244	0.79028454645496
CPD_34109	0.0905888058472239	0.25968458122799
CPD_35432	1.8894549520295e-11	0.418314061917195
CPD_37468	0.668921467040765	1.01334816462736
CPD_38599	0.32083003572319	0.996828752642706
CPD_38651	0.562283176213507	1.01277000407553
CPD_38595	0.024500713957748	0.859430604982206
CPD_38623	1	0.997466874512861
CPD_39625	0.32083003572319	0.98828125
CPD_38686	0.640643299871197	0.957894736842105
CPD_39872	0.562283176213507	1.00235650563878
CPD_40461	0.32083003572319	1.00126023944549
CPD_38658	0.745631662617941	0.824114604058894
CPD_38619	NA	1
CPD_39766	0.654720877295335	0.949053289088425
CPD_18299	0.0002300956775928	0.61031941031941
